SamplingArea,SampleSiteCode,IGSN,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,ImageName
LS,456-ER18,IER18004E,geyer,113.3906,NA,0.7591,66.9,NA,456-LMA.jpg
LC,458-ER18,IER18004F,geyer,90.4442,NA,0.7744,85.6,NA,458-LMA.jpg
LC,459-ER18,IER18004G,geyer,107.7961,NA,0.9,83.5,NA,459-LMA.jpg
LC,460-ER18,IER180028,drumm,67.2624,NA,0.6001,89.2,NA,460-LMA.jpg
RW,461-ER18,IER18000V,Bog Birch,90.815,NA,0.5537,61,NA,461-LMA.jpg
RW,462-ER18,IER180048,engelmann,25.6791,NA,0.8593,334.6,NA,462-LMA.jpg
LC,463-ER18,IER1800D8,wolfii,67.9826,NA,0.5631,82.8,NA,463-LMA.jpg
LC,465-ER18,IER18004H,geyer,108.7672,NA,0.8585,78.9,NA,465-LMA.jpg
LC,466-ER18,IER180029,drumm,131.94,NA,0.893,67.7,NA,466-LMA.jpg
LC,467-ER18,IER18002A,drumm,91.9753,NA,0.7347,79.9,NA,467-LMA.jpg
LC,469-ER18,IER18001O,boothii,159.6833,NA,1.4605,91.5,NA,469-LMA.jpg
LC,470-ER18,IER1800D9,wolfii,82.9271,NA,0.6717,81,NA,470-LMA.jpg
LC,471-ER18,IER18001P,boothii,147.9335,NA,1.1614,78.5,NA,471-LMA.jpg
LC,472-ER18,IER18004I,geyer,106.7216,NA,0.9833,92.1,NA,472-LMA.jpg
GS,474-ER18,IER180056,Lodgepole,40.806,NA,1.0189,249.7,NA,474-LMA.jpg
GS,475-ER18,IER180057,Lodgepole,35.6264,NA,0.8607,241.6,NA,475-LMA.jpg
GS,476-ER18,IER180058,Lodgepole,36.9112,NA,0.9437,255.7,NA,476-LMA.jpg
GS,477-ER18,IER180049,Engelmann,29.1906,NA,1.0677,365.8,NA,477-LMA.jpg
GS,478-ER18,IER180059,Lodgepole,50.3501,NA,0.9954,197.7,NA,478-LMA.jpg
