SampleSiteID,SampleSiteCode,SampleID,IGSN,Analysis_date_yymmdd,Site_Veg,AreaAllN2,AreaAllCO2,d15N,d13C,N_weight_percent,C_weight_percent
216,216-ER18,216-ER18-FO,IER180084,190206,Meadow,119.421,184.992,-0.9,-26.22,3.75,44.89
217,217-ER18,217-ER18-FO,IER180085,190206,Meadow,110.063,187.309,-2.9,-25.55,3.42,45.04
218,218-ER18,218-ER18-FO,IER180086,190206,Meadow,107.286,185.301,-2.06,-25.84,3.29,43.98
219,219-ER18,219-ER18-FO,IER180087,190206,Meadow,94.159,170.592,-1.63,-25.56,3.1,43.47
220,220-ER18,220-ER18-FO,IER180088,190206,Meadow,112.052,183.147,-1.49,-26.16,3.48,44.01
221,221-ER18,221-ER18-FO,IER180089,190619,Meadow,102.071,206.654,0.19,-25.51,3.36,45.19
222,222-ER18,222-ER18-FO,IER18008A,190619,Meadow,89.687,203.935,-0.02,-25.79,2.97,44.88
223,223-ER18,223-ER18-FO,IER18008B,190619,Meadow,109.35,206.72,0.76,-26.08,3.63,45.49
224,224-ER18,224-ER18-FO,IER18008C,190619,Meadow,100.756,203.549,0.21,-25.85,3.37,45.14
225,225-ER18,225-ER18-FO,IER18008D,190619,Meadow,80.723,202.622,0.14,-26.05,2.7,45
226,226-ER18,226-ER18-FO,IER18008E,190619,Meadow,90.925,199.526,0.27,-26.43,3.11,45.32
227,227-ER18,227-ER18-FO,IER18008F,190619,Meadow,100.986,207.494,0.44,-25.54,3.45,47.03
228,228-ER18,228-ER18-FO,IER18008G,190619,Meadow,109.881,204.653,1.48,-25.09,3.68,45.45
229,229-ER18,229-ER18-FO,IER18008H,190619,Meadow,99.028,191.939,-0.76,-25.98,3.44,44.27
230,230-ER18,230-ER18-FO,IER18008I,190619,Meadow,85.833,195.891,-0.4,-25.67,2.93,44.36
231,231-ER18,231-ER18-FO,IER18008J,190619,Meadow,88.545,204.655,0.36,-26.09,2.88,44.17
232,232-ER18,232-ER18-FO,IER18008K,190619,Meadow,97.755,204.238,-0.37,-26.1,3.27,45.34
233,233-ER18,233-ER18-FO,IER18008L,190619,Meadow,88.119,202.131,0.57,-25.66,2.99,45.45
234,234-ER18,234-ER18-FO,IER18008M,190619,Meadow,92.874,200.201,-0.19,-26.34,3.11,44.55
235,235-ER18,235-ER18-FO,IER18008N,190619,Meadow,95.7,202.59,0.02,-26.3,3.27,45.88
236,236-ER18,236-ER18-FO,IER18008O,190619,Meadow,86.97,192.426,0.89,-25.7,3.08,45.26
237,237-ER18,237-ER18-FO,IER18008P,190619,Meadow,115.342,201.847,0.98,-25.75,3.84,44.57
238,238-ER18,238-ER18-FO,IER18008Q,190619,Meadow,133.16,215.602,5.99,-25.85,4.34,46.69
239,239-ER18,239-ER18-FO,IER18004M,190619,Gooseberry,88.555,205.776,0.77,-26.75,3.12,48.19
240,240-ER18,240-ER18-FO,IER18002D,,Elderberry,160.282,204.5985,1.175,-25.715,5.255,47.7
241,241-ER18,241-ER18-FO,IER18004U,190117,LigPor,107.689,179.764,0.4,-25.12,3.29,41.79
242,242-ER18,242-ER18-FO,IER18002E,190117,Elderberry,171.209,196.914,2.15,-26.19,5.52,48.23
